State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
Oklahoma,1,R+17,Kevin Hern,R,"103,042","150,129",0,40.70%,59.30%,0.00%,-18.60%,-28.80%,10.20%,81.30%,
319,,,,,,,,,,,,,,,
Oklahoma,2,R+24,Markwayne Mullin,R,"65,021","140,451","10,530",30.10%,65.00%,4.90%,-34.90%,-50.10%,15.20%,79.50%,
320,,,,,,,,,,,,,,,
Oklahoma,3,R+27,Frank Lucas,R,"61,152","172,913",0,26.10%,73.90%,0.00%,-47.70%,-52.80%,5.10%,79.80%,
321,,,,,,,,,,,,,,,
Oklahoma,4,R+20,Tom Cole,R,"78,088","149,227","9,323",33.00%,63.10%,3.90%,-30.10%,-37.20%,7.10%,80.10%,
322,,,,,,,,,,,,,,,
Oklahoma,5,R+10,Kendra Horn,D,"121,149","117,811",0,50.70%,49.30%,0.00%,1.40%,-13.70%,15.10%,85.10%,
323,,,,,,,,,,,,,,,
Oregon,1,D+9,Suzanne Bonamici,D,"215,701","110,633","14,312",63.30%,32.50%,4.20%,30.80%,21.90%,8.90%,85.40%,
324,,,,,,,,,,,,,,,
Oregon,2,R+11,Greg Walden,R,"141,036","203,565","15,461",39.20%,56.50%,4.30%,-17.40%,-19.40%,2.00%,91.40%,
325,,,,,,,,,,,,,,,
Oregon,3,D+24,Earl Blumenauer,D,"274,075","75,119","28,330",72.60%,19.90%,7.50%,52.70%,46.70%,6.00%,91.50%,
326,,,,,,,,,,,,,,,
Oregon,4,EVEN,Peter DeFazio,D,"204,108","149,688","10,899",56.00%,41.00%,3.00%,14.90%,0.10%,14.80%,89.80%,
327,,,,,,,,,,,,,,,
Oregon,5,EVEN,Kurt Schrader,D,"189,535","144,415","10,806",55.00%,41.90%,3.10%,13.10%,4.10%,9.00%,88.60%,
328,,,,,,,,,,,,,,,
Pennsylvania,1,R+1,Brian Fitzpatrick,R,"160,098","168,841",0,48.70%,51.30%,0.00%,-2.70%,2.00%,-4.70%,85.30%,
329,,,,,,,,,,,,,,,
Pennsylvania,2,D+25,Brendan Boyle,D,"154,384","41,416",0,78.80%,21.20%,0.00%,57.70%,48.00%,9.70%,69.00%,
330,,,,,,,,,,,,,,,
Pennsylvania,3,D+41,Dwight Evans,D,"277,885","19,687",0,93.40%,6.60%,0.00%,86.80%,83.90%,2.90%,79.70%,
331,,,,,,,,,,,,,,,
Pennsylvania,4,D+7,Madeleine Dean,D,"210,216","121,117",0,63.40%,36.60%,0.00%,26.90%,19.40%,7.50%,86.60%,
332,,,,,,,,,,,,,,,
Pennsylvania,5,D+13,Mary Gay Scanlon,D,"191,571","102,815",0,65.10%,34.90%,0.00%,30.10%,28.20%,1.90%,80.10%,
333,,,,,,,,,,,,,,,
Pennsylvania,6,D+2,Chrissy Houlahan,D,"175,516","122,896",0,58.80%,41.20%,0.00%,17.60%,9.30%,8.30%,84.40%,
334,,,,,,,,,,,,,,,
Pennsylvania,7,D+1,Susan Wild,D,"137,122","111,862","7,899",53.40%,43.50%,3.10%,9.80%,1.10%,8.70%,78.00%,
335,,,,,,,,,,,,,,,
Pennsylvania,8,R+1,Matt Cartwright,D,"134,519","111,640",0,54.60%,45.40%,0.00%,9.30%,-9.50%,18.80%,79.40%,
336,,,,,,,,,,,,,,,
Pennsylvania,9,R+14,Dan Meuser,R,"98,232","146,675",0,40.10%,59.90%,0.00%,-19.80%,-34.00%,14.20%,77.60%,
337,,,,,,,,,,,,,,,
Pennsylvania,10,R+6,Scott Perry,R,"140,956","148,790",0,48.60%,51.40%,0.00%,-2.70%,-8.90%,6.20%,83.70%,
338,,,,,,,,,,,,,,,
Pennsylvania,11,R+14,Lloyd Smucker,R,"112,605","162,227",0,41.00%,59.00%,0.00%,-18.10%,-25.80%,7.70%,82.60%,
339,,,,,,,,,,,,,,,
Pennsylvania,12,R+17,Tom Marino,R,"81,390","159,251",0,33.80%,66.20%,0.00%,-32.40%,-36.50%,4.10%,78.40%,
340,,,,,,,,,,,,,,,
Pennsylvania,13,R+22,John Joyce,R,"73,494","175,046",0,29.60%,70.40%,0.00%,-40.90%,-45.50%,4.60%,77.80%,
341,,,,,,,,,,,,,,,
Pennsylvania,14,R+14,Guy Reschenthaler,R,"108,179","149,147",0,42.00%,58.00%,0.00%,-15.90%,-29.00%,13.10%,77.30%,
342,,,,,,,,,,,,,,,
Pennsylvania,15,R+20,Glenn Thompson,R,"76,502","161,990",0,32.10%,67.90%,0.00%,-35.80%,-43.40%,7.60%,77.20%,
343,,,,,,,,,,,,,,,
Pennsylvania,16,R+8,Mike Kelly,R,"121,585","132,088","2,902",47.40%,51.50%,1.10%,-4.10%,-19.90%,15.80%,79.40%,
344,,,,,,,,,,,,,,,
Pennsylvania,17,R+3,Conor Lamb,D,"181,187","141,145",0,56.20%,43.80%,0.00%,12.40%,-2.50%,14.90%,84.70%,
345,,,,,,,,,,,,,,,
Pennsylvania,18,D+13,Mike Doyle,D,"229,098",0,0,100.00%,0.00%,0.00%,100.00%,26.80%,N/A,63.30%,
346,,,,,,,,,,,,,,,
Rhode Island,1,D+14,David Cicilline,D,"114,604","57,115",0,66.70%,33.30%,0.00%,33.50%,24.90%,8.60%,78.20%,
347,,,,,,,,,,,,,,,
Rhode Island,2,D+6,Jim Langevin,D,"125,090","71,716",0,63.60%,36.40%,0.00%,27.10%,6.80%,20.30%,80.90%,
348,,,,,,,,,,,,,,,
South Carolina,1,R+10,Joe Cunningham,D,"144,828","140,792",0,50.70%,49.30%,0.00%,1.40%,-12.70%,14.10%,84.90%,
349,,,,,,,,,,,,,,,
South Carolina,2,R+12,Joe Wilson,R,"108,896","144,407","3,306",42.40%,56.30%,1.30%,-13.80%,-18.60%,4.80%,82.40%,
350,,,,,,,,,,,,,,,
South Carolina,3,R+19,Jeff Duncan,R,"69,744","152,752","2,812",31.00%,67.80%,1.20%,-36.80%,-38.00%,1.20%,79.30%,
351,,,,,,,,,,,,,,,
South Carolina,4,R+15,William Timmons,R,"88,849","144,990","9,160",36.60%,59.70%,3.80%,-23.10%,-25.60%,2.50%,80.00%,
352,,,,,,,,,,,,,,,
South Carolina,5,R+9,Ralph Norman,R,"102,689","141,273","3,379",41.50%,57.10%,1.40%,-15.60%,-18.50%,2.90%,80.70%,
353,,,,,,,,,,,,,,,
South Carolina,6,D+19,Jim Clyburn,D,"145,630","58,436","3,408",70.20%,28.20%,1.60%,42.00%,37.40%,4.60%,78.30%,
354,,,,,,,,,,,,,,,
South Carolina,7,R+9,Tom Rice,R,"95,438","140,938",0,40.40%,59.60%,0.00%,-19.20%,-18.70%,-0.50%,78.90%,
355,,,,,,,,,,,,,,,
South Dakota,AL,R+14,Dusty Johnson,R,"121,002","202,673","12,234",36.00%,60.30%,3.60%,-24.30%,-29.80%,5.50%,90.80%,
356,,,,,,,,,,,,,,,
Tennessee,1,R+28,Phil Roe,R,"47,087","172,708","4,303",21.00%,77.10%,1.90%,-56.10%,-56.80%,0.70%,84.10%,
357,,,,,,,,,,,,,,,
Tennessee,2,R+20,Tim Burchett,R,"86,635","171,994","2,578",33.20%,65.80%,1.00%,-32.70%,-35.20%,2.50%,89.40%,
358,,,,,,,,,,,,,,,
Tennessee,3,R+18,Chuck Fleischmann,R,"84,632","156,385","4,514",34.50%,63.70%,1.80%,-29.20%,-35.00%,5.80%,88.30%,
359,,,,,,,,,,,,,,,
Tennessee,4,R+20,Scott DesJarlais,R,"77,955","147,196","7,050",33.60%,63.40%,3.00%,-29.80%,-40.90%,11.10%,83.40%,
360,,,,,,,,,,,,,,,
Tennessee,5,D+7,Jim Cooper,D,"177,661","84,196",0,67.80%,32.20%,0.00%,35.70%,18.20%,17.50%,93.70%,
361,,,,,,,,,,,,,,,
Tennessee,6,R+24,John Rose,R,"70,298","172,682","6,840",28.10%,69.10%,2.70%,-41.00%,-48.80%,7.80%,83.50%,
362,,,,,,,,,,,,,,,
Tennessee,7,R+20,Mark Green,R,"81,574","169,769","2,648",32.10%,66.80%,1.00%,-34.70%,-39.00%,4.30%,86.50%,
363,,,,,,,,,,,,,,,
Tennessee,8,R+19,David Kustoff,R,"74,126","166,400","5,509",30.10%,67.60%,2.20%,-37.50%,-35.40%,-2.10%,82.40%,
364,,,,,,,,,,,,,,,
Tennessee,9,D+28,Steve Cohen,D,"143,690","34,710","1,414",79.90%,19.30%,0.80%,60.60%,57.30%,3.30%,80.20%,
365,,,,,,,,,,,,,,,
Texas,1,R+25,Louie Gohmert,R,"60,957","167,734","3,278",26.30%,72.30%,1.40%,-46.00%,-46.60%,0.60%,87.70%,
366,,,,,,,,,,,,,,,
Texas,2,R+11,Dan Crenshaw,R,"118,570","138,502","4,183",45.40%,53.00%,1.60%,-7.60%,-9.20%,1.60%,93.30%,
367,,,,,,,,,,,,,,,
Texas,3,R+13,Van Taylor,R,"137,547","168,775","4,595",44.20%,54.30%,1.50%,-10.00%,-13.90%,3.90%,95.90%,
368,,,,,,,,,,,,,,,
Texas,4,R+28,John Ratcliffe,R,"57,209","188,003","3,161",23.00%,75.70%,1.30%,-52.70%,-53.20%,0.50%,88.40%,
369,,,,,,,,,,,,,,,
Texas,5,R+16,Lance Gooden,R,"78,394","130,404",0,37.50%,62.50%,0.00%,-24.90%,-28.30%,3.40%,89.50%,
370,,,,,,,,,,,,,,,
Texas,6,R+9,Ron Wright,R,"116,040","135,779","3,724",45.40%,53.10%,1.50%,-7.70%,-12.20%,4.50%,92.30%,
371,,,,,,,,,,,,,,,
Texas,7,R+7,Lizzie Fletcher,D,"126,168","114,859",0,52.30%,47.70%,0.00%,4.70%,1.40%,3.30%,93.10%,
372,,,,,,,,,,,,,,,
Texas,8,R+28,Kevin Brady,R,"67,027","198,241","4,597",24.80%,73.50%,1.70%,-48.60%,-48.30%,-0.30%,90.50%,
373,,,,,,,,,,,,,,,
Texas,9,D+29,Al Green,D,"135,427",0,"16,643",89.10%,0.00%,10.90%,89.10%,61.20%,N/A,79.40%,
374,,,,,,,,,,,,,,,
Texas,10,R+9,Michael McCaul,R,"142,511","154,652","6,569",46.90%,50.90%,2.20%,-4.00%,-9.10%,5.10%,95.60%,
375,,,,,,,,,,,,,,,
Texas,11,R+32,Mike Conaway,R,"40,028","174,749","3,106",18.40%,80.20%,1.40%,-61.80%,-58.50%,-3.30%,87.30%,
376,,,,,,,,,,,,,,,
Texas,12,R+18,Kay Granger,R,"90,676","172,205","4,926",33.90%,64.30%,1.80%,-30.40%,-30.00%,-0.40%,94.00%,
377,,,,,,,,,,,,,,,
Texas,13,R+33,Mac Thornberry,R,"33,956","162,317","3,044",17.00%,81.40%,1.50%,-64.40%,-62.80%,-1.60%,83.10%,
378,,,,,,,,,,,,,,,
Texas,14,R+12,Randy Weber,R,"90,937","137,582","3,354",39.20%,59.30%,1.40%,-20.10%,-19.70%,-0.40%,87.70%,
379,,,,,,,,,,,,,,,
Texas,15,D+7,Vicente Gonzalez,D,"97,991","62,867","2,593",60.00%,38.50%,1.60%,21.50%,16.60%,4.90%,88.00%,
380,,,,,,,,,,,,,,,
Texas,16,D+17,Veronica Escobar,D,"122,676","48,495","8,079",68.40%,27.10%,4.50%,41.40%,40.30%,1.10%,92.10%,
381,,,,,,,,,,,,,,,
Texas,17,R+12,Bill Flores,R,"96,655","130,751","4,358",41.70%,56.40%,1.90%,-14.70%,-17.30%,2.60%,92.60%,
382,,,,,,,,,,,,,,,
Texas,18,D+27,Sheila Jackson Lee,D,"137,567","38,081","7,196",75.20%,20.80%,3.90%,54.40%,56.30%,-1.90%,88.70%,
383,,,,,,,,,,,,,,,
Texas,19,R+27,Jodey Arrington,R,"49,941","152,012",0,24.70%,75.30%,0.00%,-50.50%,-48.70%,-1.80%,88.00%,
384,,,,,,,,,,,,,,,
Texas,20,D+10,Joaquin Castro,D,"138,249",0,"32,727",80.90%,0.00%,19.10%,80.90%,26.40%,N/A,77.70%,
385,,,,,,,,,,,,,,,
Texas,21,R+10,Chip Roy,R,"167,020","176,913","7,497",47.50%,50.30%,2.10%,-2.80%,-9.90%,7.10%,96.90%,
386,,,,,,,,,,,,,,,
Texas,22,R+10,Pete Olson,R,"137,500","152,318","6,488",46.40%,51.40%,2.20%,-5.00%,-7.80%,2.80%,96.00%,
387,,,,,,,,,,,,,,,
Texas,23,R+1,Will Hurd,R,"101,753","102,903","4,402",48.70%,49.20%,2.10%,-0.60%,3.50%,-4.10%,89.70%,
388,,,,,,,,,,,,,,,
Texas,24,R+9,Kenny Marchant,R,"124,580","132,992","4,861",47.50%,50.70%,1.90%,-3.20%,-6.20%,3.00%,94.60%,
389,,,,,,,,,,,,,,,
Texas,25,R+11,Roger Williams,R,"135,288","162,288","5,124",44.70%,53.60%,1.70%,-8.90%,-14.70%,5.80%,96.00%,
390,,,,,,,,,,,,,,,
Texas,26,R+18,Michael Burgess,R,"121,584","185,268","5,008",39.00%,59.40%,1.60%,-20.40%,-26.20%,5.80%,96.80%,
391,,,,,,,,,,,,,,,
Texas,27,R+13,Michael Cloud,R,"75,761","124,958","6,360",36.60%,60.30%,3.10%,-23.80%,-23.40%,-0.40%,88.00%,
392,,,,,,,,,,,,,,,
Texas,28,D+9,Henry Cuellar,D,"117,178",0,"21,647",84.40%,0.00%,15.60%,84.40%,19.70%,N/A,73.00%,
393,,,,,,,,,,,,,,,
Texas,29,D+19,Sylvia Garcia,D,"87,679","27,945","1,187",75.10%,23.90%,1.00%,51.10%,45.60%,5.50%,87.20%,
394,,,,,,,,,,,,,,,
Texas,30,D+29,Eddie Bernice Johnson,D,"166,102",0,"16,318",91.10%,0.00%,8.90%,91.10%,60.80%,N/A,82.70%,
395,,,,,,,,,,,,,,,
Texas,31,R+10,John Carter,R,"134,675","143,330","4,936",47.60%,50.70%,1.70%,-3.10%,-12.50%,9.40%,96.80%,
396,,,,,,,,,,,,,,,
Texas,32,R+5,Colin Allred,D,"142,885","125,600","5,424",52.20%,45.90%,2.00%,6.30%,1.90%,4.40%,98.40%,
397,,,,,,,,,,,,,,,
Texas,33,D+23,Marc Veasey,D,"90,311","26,007","2,291",76.10%,21.90%,1.90%,54.20%,49.10%,5.10%,91.30%,
398,,,,,,,,,,,,,,,
Texas,34,D+10,Filemon Vela,D,"85,647","57,157",0,60.00%,40.00%,0.00%,20.00%,21.50%,-1.50%,82.90%,
399,,,,,,,,,,,,,,,
Texas,35,D+15,Lloyd Doggett,D,"137,325","50,276","5,215",71.20%,26.10%,2.70%,45.10%,33.30%,11.80%,95.40%,
400,,,,,,,,,,,,,,,
Texas,36,R+26,Brian Babin,R,"60,486","160,592",0,27.40%,72.60%,0.00%,-45.30%,-46.50%,1.20%,86.50%,
401,,,,,,,,,,,,,,,
Utah,1,R+26,Rob Bishop,R,"53,104","137,979","29,075",24.10%,62.70%,13.20%,-38.60%,-27.40%,-11.20%,78.50%,
402,,,,,,,,,,,,,,,
Utah,2,R+16,Chris Stewart,R,"87,766","133,643","10,742",37.80%,57.60%,4.60%,-19.80%,-14.00%,-5.80%,81.80%,
403,,,,,,,,,,,,,,,
Utah,3,R+25,John Curtis,R,"52,838","124,683","8,559",28.40%,67.00%,4.60%,-38.60%,-23.90%,-14.70%,64.20%,
404,,,,,,,,,,,,,,,
Utah,4,R+13,,,"108,401","103,115",0,51.20%,48.80%,0.00%,2.50%,-6.70%,9.20%,76.30%,
405,,,,,,,,,,,,,,,
Vermont,AL,D+15,Peter Welch,D,"188,146","70,490","12,967",69.30%,26.00%,4.80%,43.30%,26.40%,16.90%,86.20%,
406,,,,,,,,,,,,,,,
Virginia,1,R+8,Rob Wittman,R,"148,355","183,154",387,44.70%,55.20%,0.10%,-10.50%,-12.40%,1.90%,83.90%,
407,,,,,,,,,,,,,,,
Virginia,2,R+3,Elaine Luria,D,"139,328","133,319",0,51.10%,48.90%,0.00%,2.20%,-3.40%,5.60%,83.40%,
408,,,,,,,,,,,,,,,
Virginia,3,D+16,Bobby Scott,D,"198,429",0,"19,098",91.20%,0.00%,8.80%,91.20%,31.50%,N/A,66.80%,
409,,,,,,,,,,,,,,,
Virginia,4,D+10,Don McEachin,D,"186,347","107,582","4,121",62.50%,36.10%,1.40%,26.40%,21.40%,5.00%,81.80%,
410,,,,,,,,,,,,,,,
Virginia,5,R+6,Denver Riggleman,R,"144,493","165,107",0,46.70%,53.30%,0.00%,-6.70%,-11.00%,4.30%,84.20%,
411,,,,,,,,,,,,,,,
Virginia,6,R+13,Ben Cline,R,"112,438","168,334",0,40.00%,60.00%,0.00%,-19.90%,-24.60%,4.70%,80.70%,
412,,,,,,,,,,,,,,,
Virginia,7,R+6,Abigail Spanberger,D,"175,998","169,320","4,369",50.30%,48.40%,1.20%,1.90%,-6.50%,8.40%,88.60%,
413,,,,,,,,,,,,,,,
Virginia,8,D+21,Don Beyer,D,"246,831","76,492",0,76.30%,23.70%,0.00%,52.70%,51.80%,0.90%,86.60%,
414,,,,,,,,,,,,,,,
Virginia,9,R+19,Morgan Griffith,R,"85,658","160,888",0,34.70%,65.30%,0.00%,-30.50%,-41.30%,10.80%,77.40%,
415,,,,,,,,,,,,,,,
Virginia,10,D+1,Jennifer Wexton,D,"206,245","160,790",598,56.10%,43.70%,0.20%,12.40%,9.80%,2.60%,90.00%,
416,,,,,,,,,,,,,,,
Virginia,11,D+15,Gerry Connolly,D,"218,957","82,967","6,041",71.10%,26.90%,2.00%,44.20%,38.90%,5.30%,85.20%,
417,,,,,,,,,,,,,,,
Washington,1,D+6,Suzan DelBene,D,"184,896","127,388",0,59.20%,40.80%,0.00%,18.40%,16.40%,2.00%,90.00%,
418,,,,,,,,,,,,,,,
Washington,2,D+10,Rick Larsen,D,"193,209",0,"76,475",71.60%,0.00%,28.40%,71.60%,22.10%,N/A,82.30%,
419,,,,,,,,,,,,,,,
Washington,3,R+4,Jaime Herrera Beutler,R,"140,651","157,745",0,47.10%,52.90%,0.00%,-5.70%,-7.40%,1.70%,94.70%,
420,,,,,,,,,,,,,,,
Washington,4,R+13,Dan Newhouse,R,"66,423","120,540",0,35.50%,64.50%,0.00%,-28.90%,-22.90%,-6.00%,77.00%,
421,,,,,,,,,,,,,,,
Washington,5,R+8,Cathy McMorris Rodgers,R,"117,668","144,873",0,44.80%,55.20%,0.00%,-10.40%,-13.00%,2.60%,82.20%,
422,,,,,,,,,,,,,,,
Washington,6,D+6,Derek Kilmer,D,"184,570","106,661",0,63.40%,36.60%,0.00%,26.80%,12.40%,14.40%,87.30%,
423,,,,,,,,,,,,,,,
Washington,7,D+33,Pramila Jayapal,D,"315,427","62,647",0,83.40%,16.60%,0.00%,66.90%,69.80%,-2.90%,90.90%,
424,,,,,,,,,,,,,,,
Washington,8,EVEN,Kim Schrier,D,"148,327","133,242",0,52.70%,47.30%,0.00%,5.40%,3.00%,2.40%,87.80%,
425,,,,,,,,,,,,,,,
Washington,9,D+21,Adam Smith,D,"228,770",0,0,100.00%,0.00%,0.00%,100.00%,47.10%,N/A,78.40%,
426,,,,,,,,,,,,,,,
Washington,10,D+5,Denny Heck,D,"142,656","89,994",0,61.30%,38.70%,0.00%,22.60%,11.30%,11.30%,78.90%,
427,,,,,,,,,,,,,,,
West Virginia,1,R+19,David McKinley,R,"70,402","128,725",0,35.40%,64.60%,0.00%,-29.30%,-41.60%,12.30%,81.60%,
428,,,,,,,,,,,,,,,
West Virginia,2,R+17,Alex Mooney,R,"86,678","109,018","6,213",42.90%,54.00%,3.10%,-11.10%,-36.40%,25.30%,80.70%,
429,,,,,,,,,,,,,,,
West Virginia,3,R+23,Carol Miller,R,"75,776","98,048",0,43.60%,56.40%,0.00%,-12.80%,-49.30%,36.50%,79.40%,
430,,,,,,,,,,,,,,,
Wisconsin,1,R+5,Bryan Steil,R,"137,507","177,490","10,006",42.30%,54.60%,3.10%,-12.30%,-10.30%,-2.00%,90.30%,
431,,,,,,,,,,,,,,,
Wisconsin,2,D+18,Mark Pocan,D,"300,571",0,"6,186",98.00%,0.00%,2.00%,98.00%,36.30%,N/A,73.40%,
432,,,,,,,,,,,,,,,
Wisconsin,3,EVEN,Ron Kind,D,"187,615","126,897",0,59.70%,40.30%,0.00%,19.30%,-4.50%,23.80%,86.60%,
433,,,,,,,,,,,,,,,
Wisconsin,4,D+25,Gwen Moore,D,"208,127","60,240","7,228",75.50%,21.90%,2.60%,53.70%,51.50%,2.20%,88.20%,
434,,,,,,,,,,,,,,,
Wisconsin,5,R+13,Jim Sensenbrenner,R,"136,995","223,989",0,38.00%,62.00%,0.00%,-24.10%,-19.80%,-4.30%,89.00%,
435,,,,,,,,,,,,,,,
Wisconsin,6,R+8,Glenn Grothman,R,"144,530","180,314",0,44.50%,55.50%,0.00%,-11.00%,-16.60%,5.60%,87.50%,
436,,,,,,,,,,,,,,,
Wisconsin,7,R+8,Sean Duffy,R,"123,548","193,126","4,372",38.50%,60.20%,1.40%,-21.70%,-20.30%,-1.40%,86.00%,
437,,,,,,,,,,,,,,,
Wisconsin,8,R+7,Mike Gallagher,R,"119,263","209,400",0,36.30%,63.70%,0.00%,-27.40%,-17.40%,-10.00%,88.20%,
438,,,,,,,,,,,,,,,
Wyoming,AL,R+25,Liz Cheney,R,"59,929","127,882","13,078",29.80%,63.70%,6.50%,-33.80%,-46.30%,12.50%,78.50%,
