State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
California,30,D+18,Brad Sherman,D,"134,501","53,053",0,71.70%,28.30%,0.00%,43.40%,43.40%,0.00%,61.90%,
55,,,,,,,,,,,,,,,
California,31,D+8,Pete Aguilar,D,"71,549","54,219",0,56.90%,43.10%,0.00%,13.80%,21.10%,-7.30%,55.00%,
56,,,,,,,,,,,,,,,
California,32,D+17,Grace Napolitano,D,"83,882","41,781",0,66.80%,33.20%,0.00%,33.50%,38.90%,-5.40%,57.10%,
57,,,,,,,,,,,,,,,
California,33,D+16,Ted Lieu,D,"155,546","71,823",0,68.40%,31.60%,0.00%,36.80%,41.30%,-4.50%,64.20%,
58,,,,,,,,,,,,,,,
California,34,D+35,Jimmy Gomez,D,"74,537",0,"26,160",74.00%,0.00%,26.00%,74.00%,72.80%,N/A,54.50%,
59,,,,,,,,,,,,,,,
California,35,D+19,Norma Torres,D,"65,688","31,753",0,67.40%,32.60%,0.00%,34.80%,40.80%,-6.00%,51.70%,
60,,,,,,,,,,,,,,,
California,36,D+2,Raul Ruiz,D,"59,343","45,931",0,56.40%,43.60%,0.00%,12.70%,8.70%,4.00%,44.40%,
61,,,,,,,,,,,,,,,
California,37,D+37,Karen Bass,D,"143,287","19,081",0,88.20%,11.80%,0.00%,76.50%,76.10%,0.40%,58.80%,
62,,,,,,,,,,,,,,,
California,38,D+17,Linda Sanchez,D,"95,627","47,351",0,66.90%,33.10%,0.00%,33.80%,39.50%,-5.70%,57.60%,
63,,,,,,,,,,,,,,,
California,39,EVEN,,,"78,021","81,419",0,48.90%,51.10%,0.00%,-2.10%,8.50%,-10.60%,58.10%,
64,,,,,,,,,,,,,,,
California,40,D+33,Lucille Roybal-Allard,D,"63,540",0,"18,131",77.80%,0.00%,22.20%,77.80%,69.50%,N/A,49.60%,
65,,,,,,,,,,,,,,,
California,41,D+12,Mark Takano,D,"45,606","29,919",0,60.40%,39.60%,0.00%,20.80%,27.90%,-7.10%,36.50%,
66,,,,,,,,,,,,,,,
California,42,R+9,Ken Calvert,R,"44,671","65,166",0,40.70%,59.30%,0.00%,-18.70%,-12.00%,-6.70%,40.90%,
67,,,,,,,,,,,,,,,
California,43,D+29,Maxine Waters,D,"102,863","32,782",0,75.80%,24.20%,0.00%,51.70%,61.70%,-10.00%,58.00%,
68,,,,,,,,,,,,,,,
California,44,D+35,Nanette Barragan,D,"98,366",0,0,100.00%,0.00%,0.00%,100.00%,70.80%,N/A,49.70%,
69,,,,,,,,,,,,,,,
California,45,R+3,,,"95,602","99,639",0,49.00%,51.00%,0.00%,-2.10%,5.40%,-7.50%,59.30%,
70,,,,,,,,,,,,,,,
California,46,D+15,Lou Correa,D,"50,100","28,679",0,63.60%,36.40%,0.00%,27.20%,38.00%,-10.80%,43.10%,
71,,,,,,,,,,,,,,,
California,47,D+13,Alan Lowenthal,D,"91,760","54,613",0,62.70%,37.30%,0.00%,25.40%,31.50%,-6.10%,56.50%,
72,,,,,,,,,,,,,,,
California,48,R+4,Harley Rouda,D,"98,259","93,503",0,51.20%,48.80%,0.00%,2.50%,1.70%,0.80%,59.90%,
73,,,,,,,,,,,,,,,
California,49,R+1,Mike Levin,D,"104,146","87,588",0,54.30%,45.70%,0.00%,8.60%,7.50%,1.10%,60.90%,
74,,,,,,,,,,,,,,,
California,50,R+11,Duncan Hunter,R,"76,662","89,002",0,46.30%,53.70%,0.00%,-7.40%,-15.00%,7.60%,56.60%,
75,,,,,,,,,,,,,,,
California,51,D+22,Juan Vargas,D,"59,658","27,815",0,68.20%,31.80%,0.00%,36.40%,49.00%,-12.60%,42.50%,
76,,,,,,,,,,,,,,,
California,52,D+6,Scott Peters,D,"115,630","71,891",0,61.70%,38.30%,0.00%,23.30%,22.60%,0.70%,57.00%,
77,,,,,,,,,,,,,,,
